Report generated: 2025-11-28 16:01:07Z

TOTAL: 109
FR_COPIES: 63
TRANSLATED: 46

Locale | Status | Path
af | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\af\emails.php
am | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\am\emails.php
ar | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\ar\emails.php
az | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\az\emails.php
be | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\be\emails.php
bg | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\bg\emails.php
bn | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\bn\emails.php
bs | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\bs\emails.php
ca | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\ca\emails.php
ceb | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ceb\emails.php
co | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\co\emails.php
cs | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\cs\emails.php
cy | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\cy\emails.php
da | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\da\emails.php
de | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\de\emails.php
el | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\el\emails.php
en | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\en\emails.php
eo | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\eo\emails.php
es | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\es\emails.php
et | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\et\emails.php
eu | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\eu\emails.php
fa | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\fa\emails.php
fi | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\fi\emails.php
fr | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\fr\emails.php
fy | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\fy\emails.php
ga | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ga\emails.php
gd | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\gd\emails.php
gl | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\gl\emails.php
gu | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\gu\emails.php
ha | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ha\emails.php
haw | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\haw\emails.php
hi | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\hi\emails.php
hmn | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\hmn\emails.php
hr | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\hr\emails.php
ht | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ht\emails.php
hu | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\hu\emails.php
hy | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\hy\emails.php
id | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\id\emails.php
ig | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\ig\emails.php
is | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\is\emails.php
it | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\it\emails.php
iw | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\iw\emails.php
ja | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ja\emails.php
jw | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\jw\emails.php
ka | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ka\emails.php
kk | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\kk\emails.php
km | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\km\emails.php
kn | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\kn\emails.php
ko | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ko\emails.php
ku | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ku\emails.php
ky | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ky\emails.php
la | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\la\emails.php
lb | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\lb\emails.php
lo | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\lo\emails.php
lt | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\lt\emails.php
lv | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\lv\emails.php
mg | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\mg\emails.php
mi | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\mi\emails.php
mk | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\mk\emails.php
ml | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ml\emails.php
mn | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\mn\emails.php
mr | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\mr\emails.php
ms | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\ms\emails.php
mt | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\mt\emails.php
my | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\my\emails.php
ne | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ne\emails.php
nl | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\nl\emails.php
no | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\no\emails.php
ny | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ny\emails.php
or | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\or\emails.php
pa | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\pa\emails.php
pl | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\pl\emails.php
ps | SAME_AS_FR | C:\xampp\htdocs\CompteEurope\resources\lang\ps\emails.php
pt | DIFFERENT | C:\xampp\htdocs\CompteEurope\resources\lang\pt\emails.php
